det_id,confidence,center_x,center_y,x1,y1,x2,y2
1,0.848,403.9,90.1,382.6,65.7,425.2,114.6
2,0.742,713.3,229.4,697.0,218.8,729.5,240.0
3,0.738,889.8,308.2,869.2,293.1,910.3,323.2
4,0.656,548.7,431.8,538.8,413.5,558.6,450.0
5,0.555,889.0,423.4,880.2,407.2,897.8,439.6
6,0.545,1014.6,150.6,1005.4,129.4,1023.7,171.7
7,0.506,149.1,255.4,128.6,234.0,169.6,276.7
8,0.494,310.3,266.3,295.2,257.7,325.4,274.9
9,0.425,156.4,430.0,145.0,413.1,167.8,446.9
10,0.405,604.8,388.1,591.6,378.4,617.9,397.7
11,0.399,183.8,355.9,171.6,337.8,196.0,374.0
12,0.38,364.6,156.4,353.3,142.0,376.0,170.8
13,0.377,336.7,207.4,326.2,192.2,347.2,222.7
14,0.339,1008.9,445.1,994.2,434.0,1023.7,456.3
15,0.31,844.1,179.8,828.6,169.3,859.7,190.3
