plant_id,primary,type,raw_class,is_stem,confidence,center_x,center_y,width_px,height_px,area_px2,x1,y1,x2,y2,img_w,img_h,cluster,row_id
1,Fide,Fasulye,bean,False,0.915,393.6,443.2,236.7,144.1,34106.5,275.3,371.2,512.0,515.3,2048,1536,Kume_1,Sira_1
2,Fide,Fasulye,bean,False,0.815,737.2,549.7,92.5,91.3,8441.6,691.0,504.1,783.5,595.4,2048,1536,Kume_1,Sira_1
3,Fide,Fasulye,bean,False,0.795,1524.9,519.1,115.8,163.5,18928.8,1467.0,437.3,1582.8,600.8,2048,1536,Kume_2,Sira_1
4,Fide,Fasulye,bean,False,0.725,1394.2,562.0,96.1,108.1,10391.7,1346.1,508.0,1442.2,616.1,2048,1536,Kume_2,Sira_1
5,Fide,Fasulye,bean,False,0.587,49.7,491.1,98.1,110.3,10821.7,0.6,435.9,98.7,546.2,2048,1536,Kume_1,Sira_1
6,Govde,Fasulye,stem_bean,True,0.578,68.1,533.4,77.2,80.0,6175.7,29.5,493.4,106.7,573.4,2048,1536,nan,Sira_1
7,Govde,Fasulye,stem_bean,True,0.564,1356.7,548.8,78.0,83.0,6476.8,1317.7,507.3,1395.7,590.3,2048,1536,nan,Sira_1
8,Govde,Fasulye,stem_bean,True,0.524,742.8,542.3,75.4,70.9,5346.3,705.1,506.8,780.5,577.7,2048,1536,nan,Sira_1
9,Govde,Fasulye,stem_bean,True,0.513,1525.0,539.8,77.7,77.0,5986.4,1486.1,501.3,1563.8,578.3,2048,1536,nan,Sira_1
10,Govde,Fasulye,stem_bean,True,0.504,2013.0,586.2,69.2,84.6,5848.8,1978.4,543.9,2047.6,628.4,2048,1536,nan,Sira_1
11,Fide,Fasulye,bean,False,0.504,48.9,518.7,97.7,169.1,16519.3,0.1,434.2,97.8,603.3,2048,1536,Kume_1,Sira_1
